snv.strain	M1.R00.E01	M1.R01.E02	M1.R02.E02	M1.R03.E02	M1.R04.E02	M1.R05.E02	M1.R06.E02	M1.R07.E02	M1.R08.E02	M1.R01.E03	M1.R02.E03	M1.R03.E03	M1.R04.E03	M1.R05.E03	M1.R06.E03	M1.R07.E03	M1.R08.E03	M1.R01.E04	M1.R02.E04	M1.R03.E04	M1.R04.E04	M1.R05.E04	M1.R06.E04	M1.R07.E04	M1.R08.E04	M1.R01.E05	M1.R02.E05	M1.R03.E05	M1.R04.E05	M1.R05.E05	M1.R06.E05	M1.R07.E05	M1.R08.E05	M1.R01.E06	M1.R02.E06	M1.R03.E06	M1.R04.E06	M1.R05.E06	M1.R06.E06	M1.R07.E06	M1.R08.E06	M1.R01.E07	M1.R02.E07	M1.R03.E07	M1.R04.E07	M1.R05.E07	M1.R06.E07	M1.R07.E07	M1.R08.E07	M1.R01.E08	M1.R02.E08	M1.R03.E08	M1.R04.E08	M1.R05.E08	M1.R06.E08	M1.R07.E08	M1.R08.E08
VC20152	0.038942657	0.042793101	0.042793101	0.042793101	0.042793101	0.042793101	0.042793101	0.042793101	0.042793101	0.123154977	0.123154977	0.123154977	0.123154977	0.125557546	0.125557546	0.125557546	0.125557546	0.161414566	0.161414566	0.161414566	0.161414566	0.082725327	0.082725327	0.082725327	0.082725327	0.196507242	0.196507242	0.196507242	0.196507242	0.110717343	0.110717343	0.110717343	0.110717343	0.37810439	0.401378456	0.380655688	0.345306519	0.224823228	0.221853112	0.217706552	0.202724743	0.183919552	0.138242826	0.188379542	0.234843976	0.096421889	0.112614273	0.103541653	0.092883657	0.135511074	0.113588923	0.140732788	0.16272144	0.062484936	0.110119068	0.108131187	0.044555696
VC20684	0.044567074	0.04370517	0.04370517	0.04370517	0.04370517	0.04370517	0.04370517	0.04370517	0.04370517	0.043009205	0.043009205	0.043009205	0.043009205	0.038867801	0.038867801	0.038867801	0.038867801	0.026410656	0.026410656	0.026410656	0.026410656	0.04114729	0.04114729	0.04114729	0.04114729	0.015375784	0.015375784	0.015375784	0.015375784	0.016117982	0.016117982	0.016117982	0.016117982	0.015507997	0.016081148	0.017943866	0.015504212	0.018740906	0.019712898	0.012918744	0.014536213	0.012214045	0.004537096	0.00667074	0.007496983	0.005578809	0.009555131	0.006839791	0.007296513	0.014339186	0.004965352	0.014542772	0.008696842	0.007381615	0.013497217	0.008847201	0.010082651
VC40719	0.056261803	0.053660957	0.053660957	0.053660957	0.053660957	0.053660957	0.053660957	0.053660957	0.053660957	0.015896244	0.015896244	0.015896244	0.015896244	0.024658453	0.024658453	0.024658453	0.024658453	0.006366862	0.006366862	0.006366862	0.006366862	0.026816304	0.026816304	0.026816304	0.026816304	0.004679356	0.004679356	0.004679356	0.004679356	0.016066753	0.016066753	0.016066753	0.016066753	0.002957475	0.002572929	0.001243744	0.002559196	0.002579281	0.003197946	0.00229662	0.004398992	0.003424345	0.002544607	0.004729141	0.002916688	0.006437266	0.005305804	0.006994478	0.002561328	0.005207466	0.005564096	0.003167734	0.005546269	0.006837919	0.006387787	0.013840475	0.007405274
VC20496	0.016479705	0.014085717	0.014085717	0.014085717	0.014085717	0.014085717	0.014085717	0.014085717	0.014085717	0.020887805	0.020887805	0.020887805	0.020887805	0.016840989	0.016840989	0.016840989	0.016840989	0.019648885	0.019648885	0.019648885	0.019648885	0.02554752	0.02554752	0.02554752	0.02554752	0.005328048	0.005328048	0.005328048	0.005328048	0.011356654	0.011356654	0.011356654	0.011356654	0.009239923	0.008376269	0.009572544	0.005715485	0.017580694	0.009609078	0.008091489	0.014820968	0.007626843	0.007179996	0.004886858	0.001979805	0.003264057	0.007749615	0.003619961	0.004703548	0.003476498	0.002570236	0.002769338	0.005894175	0.002920883	0.004776343	0.001352901	0.003548809
VC20738	0.013888817	0.003504101	0.003504101	0.003504101	0.003504101	0.003504101	0.003504101	0.003504101	0.003504101	0.000342466	0.000342466	0.000342466	0.000342466	0.000917685	0.000917685	0.000917685	0.000917685	0.000515464	0.000515464	0.000515464	0.000515464	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000337382	0	0	0	0	0	0	0	0	0	0	0	0.000291036	0	0	0	0.000210084	0	0.000304507	0.000342466	0.000269978	0	0
VC20110	0.052361402	0.038514146	0.038514146	0.038514146	0.038514146	0.038514146	0.038514146	0.038514146	0.038514146	0.048988807	0.048988807	0.048988807	0.048988807	0.0504749	0.0504749	0.0504749	0.0504749	0.035745525	0.035745525	0.035745525	0.035745525	0.018316963	0.018316963	0.018316963	0.018316963	0.071390786	0.071390786	0.071390786	0.071390786	0.023196839	0.023196839	0.023196839	0.023196839	0.028591524	0.039779694	0.032185468	0.039713586	0.015659365	0.016673474	0.012609286	0.015401862	0.049546394	0.038091369	0.047185908	0.042876253	0.022725373	0.020297076	0.028156057	0.022420322	0.057620938	0.050827189	0.043925251	0.063878156	0.025962286	0.0180782	0.046425961	0.018469291
VC40687	0.110158872	0.175317392	0.175317392	0.175317392	0.175317392	0.175317392	0.175317392	0.175317392	0.175317392	0.212642367	0.212642367	0.212642367	0.212642367	0.182087374	0.182087374	0.182087374	0.182087374	0.266103127	0.266103127	0.266103127	0.266103127	0.256903874	0.256903874	0.256903874	0.256903874	0.32709814	0.32709814	0.32709814	0.32709814	0.465255275	0.465255275	0.465255275	0.465255275	0.190256275	0.188663251	0.1652587	0.215567347	0.301504195	0.325083193	0.305752891	0.349557774	0.444388544	0.573521862	0.454921301	0.396966977	0.661886113	0.615112228	0.635054158	0.658419802	0.487122903	0.612153486	0.476517614	0.452258624	0.663273773	0.595813575	0.638399228	0.726647027
VC40870	0.029604681	0.024260796	0.024260796	0.024260796	0.024260796	0.024260796	0.024260796	0.024260796	0.024260796	0.010241997	0.010241997	0.010241997	0.010241997	0.011783769	0.011783769	0.011783769	0.011783769	0.0051242	0.0051242	0.0051242	0.0051242	0.013053406	0.013053406	0.013053406	0.013053406	0.002203861	0.002203861	0.002203861	0.002203861	0.006535857	0.006535857	0.006535857	0.006535857	0.00224204	0.000992626	0.001436215	0.00116603	0.004312283	0.002341541	0.002625059	0.002191446	0.001098387	0.00060214	0.001390572	0.00093444	0.004653561	0.003200244	0.001860502	0.001587027	0.001068857	0.001753333	0.001413479	0	0.004885281	0.001097258	0.00277006	0
VC20492	0.026064939	0.01841808	0.01841808	0.01841808	0.01841808	0.01841808	0.01841808	0.01841808	0.01841808	0.014952418	0.014952418	0.014952418	0.014952418	0.01028389	0.01028389	0.01028389	0.01028389	0.012671287	0.012671287	0.012671287	0.012671287	0.00582149	0.00582149	0.00582149	0.00582149	0.001528328	0.001528328	0.001528328	0.001528328	0.003682318	0.003682318	0.003682318	0.003682318	0.003274683	0.005366227	0.004214996	0.005069277	0.004447579	0.006877869	0.002405877	0.004553754	0.005563704	0.007983562	0.009222471	0.005096538	0.007327295	0.004872052	0.007766758	0.008002476	0.005491141	0.004225424	0.008014276	0.004571826	0.008003464	0.003150656	0.004385809	0.006308524
VC20647	0.062504273	0.068690452	0.068690452	0.068690452	0.068690452	0.068690452	0.068690452	0.068690452	0.068690452	0.063249426	0.063249426	0.063249426	0.063249426	0.071474871	0.071474871	0.071474871	0.071474871	0.033165386	0.033165386	0.033165386	0.033165386	0.057623855	0.057623855	0.057623855	0.057623855	0.029491719	0.029491719	0.029491719	0.029491719	0.008364755	0.008364755	0.008364755	0.008364755	0.028192195	0.027141662	0.040013015	0.02812338	0.032798408	0.025436587	0.022549123	0.027171417	0.019944047	0.006188352	0.020258769	0.019511814	0.003949909	0.008477426	0.006992854	0.005767881	0.020767146	0.012162215	0.016197595	0.025472451	0.00360918	0.008460117	0.005209245	0.002919098
